Rank,Title,Heat,Link
2.,优衣库创始人言论争议,151.3万,/l?e=b70ec5xoVENw%2FHFnTWsmR5SyfdjbsThvnf8xasSlXL6R%2Fq10GELrS%2Bb%2FTsvB%2BC7GBFTndiAv83mXEKMwVklzGIMDmjoWB2sK36FiT93T1a2xVUqck6ieBCl2TDkxJnwCEgn24iTueGoS0wGbNZ2SYOG9SuafkFQ38pEBiEBu4dfeThiHUACjBDRQ1oS8dRL62bEPJVJs9B7v30vkNSFIqXK3Ilcu5YF1ZdCIO2rOwj%2FBGJnzS7EbPyYflRXxpYn54URiPh217eAIgMhzgzP5WtTfZcaHo4ThxtuZb%2BcepgBoTt3wHDbRnjolqHD9OiwZBKlNi3Nnj6gTVu4
3.,鹿晗回应喝多了,105.2万,/l?e=4d0fKox%2FQZAtHCqcQuyAy2LDVJUmxZEyu%2FjoabNb%2F9H9eq1BQeL8UkBbVm%2BXl%2FBux5HGNBUHNkdpAtEAVNV3rZbVYyOqdbE%2FD4OVgjeKkGbmuFZABMc75UletEz8Ojc6dmHLk%2F%2Fv2nts4vhCfKW66FhtFK1QFSMOS0M1NYMJ9%2FARmvMr5auvIXupeI7MknF3UsLPoTlXcuhs1GnEVCbEsPD3VCffpnHn3ZkR51gyLQRa4fbt4ypdjWAeZ8gG1%2B%2BlvWigJ6js9vWEVveUv9I
4.,43位志愿军烈士遗骸今日安葬,85.9万,/l?e=af7dB0e4SMCSjnkLyvEp5qEFqLUGFJfLszNnRpnRx4trKG6l9Hcxnh%2FR8ak4%2FDzcb4ZK5q4nBArO2pMdZX4RAlsga5wIKfOd7BOmeSxFh21HzX4h4rqj2p6uA2l16ucH9DeMyLBTp8pF%2BzEIRqAt2xurFUFhm%2B75RorllUyLTvOWJdIWC%2BHw%2FbJYu128%2FTdqgqJLLaoJObLjM5s9pSEbwZuC9gMykC8fX127eZGYQqKnZEkRtWKs1t2EKeOugwroZPfGe1kD5WAjQ2qUoVXDxGgxMCJYMpWd6GKvPjnMUO481ubltOhT0Vq3fUUvMou8tMlfCVJmRlWscH4Ds781sc83auTHu3dBpojPOx%2FBTDSUMsQubbOFx8btag
5.,17名男女KTV聚众吸毒被一锅端,75.6万,/l?e=a7ffsqHs97FokcL681n8gOtzfMbmVDAk4dceZ2y1ocwwr7oEKA7BbowEpctgbbVTfn2hzfBzSwH6pdd9FUNWheXzX1KdwEsavEXRh%2FUj3prvTUFrZWfJy8l%2Bj4WYc3fF3MgquXM0JOBdKZBOE9YtGRxoQ7Fdzn74iAAxrxS0zw98pUkYjWMFvIvNTHIOguLkFGPRsDw6AKFvOyLQnkPew54l0%2Fdq7z1eCb3QqRb6s6PBqSAhy961D2rtiCvpnEJWiXueRpphopfwAeV%2B8blljbwmkxw4VJAwZrEmDael9ZGj7nP9W%2B6W5Tv2S6hSjIADr0lmiTMgr5%2B465bTcFcc2g1IWaV7f5flqfhxlgdbnA
6.,辅警因为一次好奇9年后救了一条命,42.4万,/l?e=b72cMh%2FgoQeYl3RZmcjNrL0KVpTdTGYbzC9zq9zslC0jrUnGt0d3nejNsT99fZ0fL5uiidHGDv33Mdsk4UCbC%2FZdpyLn7LbD2YG0%2F0vILAzayirdl2q7EOM0ySrZp19itZLZMysSJsAVkEXGis5YpTbjl%2BJC1IiKtZ538u9Uc3vH8WdS0fOmqznYf7rAbKGxRxQvGXWtrXIkWhKAaSNZ6x6z8nN1EvBUJDnKV%2F%2BbZkCCZ8sY7dvKbj3GOL7Twe0EKuO5lyDPEL87ya0JI%2FeuSlctLuBBHjzzFw%2FBMrY9TqxVA9eOkiwNUG5hgI2q4eIZKPxsneoQ2KrnzWXdJvJ%2B8FV3CQGEruIHGc08p%2FrXr7ABQYMKxUwaH4ClUWC8vijsAh5qX5LbwFswisUljvf7J81wsVRLZYLPRrZB3o98Twv64lKdQlNe
7.,山东一金店被抢损失或超千万,42.0万,/l?e=46d4ZSUHqu5gk%2BPLVgnKXKhscQjhIwYP3UUsxPiT3H2FeaV21KHMsXoND4y1xJj0WAglDaAa%2B7cCHc5z32qqPUGp5A%2F2l5OaVMvpWusQniZJFP2qVWkKTWT4oKeONx%2FlP2dqtDXGMwjgKoaE7eHphlsg343k5meevtrNObGz5ykR51kffJigxqc4X88O3CmGnqaIOfNIC6OHkuVp8FerunCtXQRN0aGLqQZrSn1phprKFeSWwEZQInDhyZSBo7r5wXCOIO3iu4AaX4%2FsHrp7usmEMmVYgSg0yFbCe30fzWj9IFJ7jMn50v3fLH80FUET5%2Fv3LuEcweUOURMTDQA%2BGMtNO%2BzaXS4xug9544JVorm87BN1voOsVFCxjJhcnahGg1rgoCm4kIs
8.,吉利星主播,,/l?e=8197haotCQlQxT0jkdXHBEPovBas9ueW29t4f22iTz6f%2FqLfX%2BbpxX6Z5r23%2F%2F0Htmp7IvfLB%2BqRM8HbFcfvZDc9Kjr42nViroYaDBxI0%2BDSpG52Op03ev8yUeTZMIpk0hJFBDQ2RC6AB1bXbbmCuNcZK68%2FJzNfwvy1CMe3i%2BVupE2Oz%2BHmvJpSYZO5ukJLe%2B9g%2BhSMZ0kmzrxqCIZUV2cxOLU%2B4tKMNKTwNNUjcOU
9.,鹿晗好拽,40.6万,/l?e=8c59wdH1BeEXw%2BmFZ77ytdc%2FAQKpzs2z9wv5C2c5CZRGTkUuCaCrtIr6oVap5pwAcmfHrT9COB%2FdfUleyKiaQXqix6ssqhNQkiwPi9S2oM8EODdw5HWTzd86F9NsRedAhz%2By%2F7DKPYNlTMXDmor%2BPEsZVwK%2B1KOzM7qGQ2oFd575wpV8F%2BLqjHWOD9BAA16X7iJmSl8Os46knU61aMHbStw
10.,蛇年春晚官宣,晚会 398048,/l?e=cae15EdVNz6f%2F1xiGa6Fa4nUctYbPnpr%2FA9nTrSCJhno%2FB1uPf9Ef95d5XjAP5mdZkQlvlrDGKMni6vNOBGVeNws0Qd5yz9TvXBJoaACc9XcBdTTHfq2ga239LrD6b6cGtsL9wmGMdyWOFAP5YAO3pCJwejNlAYzoinxn7G1urm9luTkHeYgsrUSx2s200NRBlh57hp%2FHQfKsMzUvnrmD5yvRQcbQcKxpjw92AIETclqATbC1tehB3yMoYFVkMA
11.,冯绍峰接想想放学回家,39.1万,/l?e=9ac8xJVCl8m51uZxfEnTldAHcJA%2FZsKzulLG6QPAF9xjPIEq9gErARERypUOlL8ZhAxer4bN%2B0t6MNP%2FvATlg%2B46aIQxCmrpOFUAWkk0HnlJtdhWip08xn11c5BdPWyU66ccLCelUq47Aq4KpG1%2FvKaIcPU0rRE3HC7fURVuGjDpN5AKOWJf3WRMeSotHOZDpWvsPD6knmtl281THj0lj4hzCSL00dqlq8ALPrfPPdSWSBpgHjeiBYla6uWvAkC6A1zRqs010eBo%2FY4BK4AWADWDOy0E3EGaB5L2nTXfMwyVepWa%2BF1z%2FGoS6MvFTwEdMe3Up72KoQl5Lps
